Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Need for Speed Underground 2,PS2_b,Electronic Arts,EA Black Box,8.3,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04,15th Nov 04
Medal of Honor: Frontline,PS2_b,Electronic Arts,EA Los Angeles,9,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02,28th May 02
Uncharted 2: Among Thieves,PS3_b,Sony Computer Entertainment,Naughty Dog,9.5,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09,13th Oct 09
Call of Duty 4: Modern Warfare,PS3_b,Activision,Infinity Ward,9.5,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07,05th Nov 07
FIFA Soccer 12,PS3_b,EA Sports,EA Canada,9.2,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11,27th Sep 11
Red Dead Redemption,PS3_b,Rockstar Games,Rockstar San Diego,9.5,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11,11th Oct 11
Assassin's Creed III,PS3_b,Ubisoft,Ubisoft Montreal,8.8,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12,12th Apr 18
Red Dead Redemption,X360_b,Rockstar Games,Rockstar San Diego,9.5,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10,18th May 10
The Elder Scrolls V: Skyrim,PS3_b,Bethesda Softworks,Bethesda Game Studios,9,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11,01st Apr 18
Minecraft,PS4_b,Sony Computer Entertainment,Mojang,9.4,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14,14th Sep 18
FIFA 15,PS4_b,EA Sports,EA Canada,8.1,6.32m,0.83m,4.49m,0.05m,0.94m,23rd Sep 14,23rd Mar 18
Driver,PS_b,GT Interactive,Reflections Interactive,8.5,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99,30th Jun 99
Tekken 2,PS_b,Namco,Namco,9.1,5.74m,2.26m,1.89m,1.36m,0.23m,25th Aug 96,25th Aug 96
