Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
NBA_2K17,PS4_b,2K_Sports,Visual_Concepts,9,3.52m,2.28m,0.59m,0.03m,0.63m,16th_Sep_16,28th_Mar_18
FIFA_Soccer_11,X360_b,EA_Sports,EA_Canada,8.7,3.52m,0.71m,2.39m,0.02m,0.40m,28th_Sep_10,28th_Sep_10
FIFA_Soccer_2004,PS2_b,EA_Sports,EA_Canada,8,3.49m,0.59m,2.36m,0.04m,0.51m,04th_Nov_03,04th_Nov_03
Battlefield:_Bad_Company_2,X360_b,Electronic_Arts,EA_Digital_Illusions_CE,9,3.48m,2.11m,1.01m,0.04m,0.33m,02nd_Mar_10,02nd_Mar_10
Borderlands,X360_b,2K_Games,Gearbox_Software,8.3,3.48m,2.43m,0.72m,0.03m,0.30m,20th_Oct_09,20th_Oct_09
Mario_&_Sonic_at_the_Olympic_Winter_Games,DS_b,Sega,Sega,7.6,3.47m,1.21m,1.63m,0.27m,0.37m,13th_Oct_09,13th_Oct_09
Guitar_Hero:_On_Tour,DS_b,Activision,Vicarious_Visions,7.1,3.46m,2.10m,1.01m,0.01m,0.35m,22nd_Jun_08,22nd_Jun_08
Tekken_4,PS2_b,Namco,Namco,7.9,3.44m,1.55m,1.27m,0.33m,0.29m,23rd_Sep_02,23rd_Sep_02
LittleBigPlanet_2,PS3_b,Sony_Computer_Entertainment,Media_Molecule,9.1,3.43m,1.83m,1.07m,0.06m,0.47m,18th_Jan_11,18th_Jan_11
Spider-Man_2,PS2_b,Activision,Treyarch,7.9,3.41m,1.75m,1.20m,0.02m,0.43m,28th_Jun_04,28th_Jun_04
Crash_Bash,PS_b,Sony_Computer_Entertainment,Eurocom_Entertainment_Software,6.8,3.39m,1.56m,1.47m,0.19m,0.17m,06th_Nov_00,06th_Nov_00
The_Elder_Scrolls_V:_Skyrim_Special_Edition,PS4_b,Bethesda_Softworks,Bethesda_Softworks,8.3,3.36m,1.24m,1.50m,0.08m,0.54m,28th_Oct_16,01st_Apr_18
Assassin's_Creed_IV:_Black_Flag,X360_b,Ubisoft,Ubisoft_Montreal,8.5,3.34m,1.90m,1.14m,0.01m,0.30m,29th_Oct_13,22nd_Mar_18
NBA_2K18,PS4_b,2K_Sports,Visual_Concepts,8.1,3.34m,2.13m,0.57m,0.04m,0.59m,19th_Sep_17,02nd_Apr_18
Max_Payne,PS2_b,Rockstar_Games,Remedy_Entertainment,8.1,3.31m,1.99m,1.05m,0.05m,0.22m,06th_Dec_01,06th_Dec_01
The_Lord_of_the_Rings:_The_Return_of_the_King,PS2_b,Electronic_Arts,Hypnos_Entertainment__Inc.,8.4,3.28m,1.50m,1.28m,0.05m,0.46m,05th_Nov_03,05th_Nov_03
L.A._Noire,PS3_b,Rockstar_Games,Team_Bondi,9.1,3.21m,1.29m,1.31m,0.12m,0.49m,15th_Nov_11,15th_Nov_11
WWF_SmackDown!_2:_Know_Your_Role,PS_b,THQ,Yuke's,8.7,3.20m,1.76m,1.21m,0.07m,0.16m,21st_Nov_00,21st_Nov_00
Assassin's_Creed_IV:_Black_Flag,PS4_b,Ubisoft,Ubisoft_Montreal,8.3,3.19m,1.07m,1.55m,0.06m,0.51m,15th_Nov_13,14th_Mar_18
Assassin's_Creed_Odyssey,PS4_b,Ubisoft,Ubisoft_Quebec,9.5,3.18m,1.18m,1.40m,0.09m,0.51m,05th_Oct_18,17th_Nov_18
Fallout:_New_Vegas,PS3_b,Bethesda_Softworks,Obsidian_Entertainment,8.2,3.17m,1.54m,1.04m,0.10m,0.49m,19th_Oct_10,19th_Oct_10
